"Reference","Value","Datasheet","Footprint","Qty","DNP","Availability"
"C1","1m","~","Capacitor_THT:C_Radial_D10.0mm_H12.5mm_P5.00mm","1","","In Stock"
"D1","LED_RKBG","https://www.farnell.com/datasheets/3497864.pdf","LED_THT:LED_D5.0mm-4_RGB","1","","In Stock"
"J1","Conn_1x6_LED_MOD","~","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","1","","Ordered"
"J2","Conn_1x6_SD_CARD","~","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","1","","Ordered"
"J3,J4","Conn_02x08_Odd_Even","~","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical","2","","Ordered"
"Q1,Q2","2N7000","https://www.vishay.com/docs/70226/70226.pdf","Package_TO_SOT_THT:TO-92_Inline","2","","In Stock"
"R1,R2","2.2k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2","","Ordered"
"R3,R4","22K","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2","","Ordered"
"R5,R6","4.7K","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2","","Ordered"
"R7,R8","100","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","2","","Ordered"
"R9","1K","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1","","Ordered"
"R10","1.5K","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1","","Ordered"
"R11","100","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1","","Ordered"
"R12","220","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1","","Ordered"
"R13","68","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1","","Ordered"
"R14,R15,R16,R17,R18,R20,R21,R22,R23,R24,R26,R27,R28,R29,R30,R32,R33,R34,R35,R36","10K","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","20","","Ordered"
"R19,R25,R31,R37","10K","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","4","","Ordered"
"SW1","SW_Push","https://sten-eswitch-13110800-production.s3.amazonaws.com/system/asset/product_line/data_sheet/143/TL1100.pdf","Button_Switch_THT:SW_PUSH-12mm","1","","In Stock"
"U1","DEVKIT_V1_ESP32-WROOM-32","https://www.espressif.com/sites/default/files/documentation/esp32_datasheet_en.pdf","Kicad:MODULE_DEVKIT_V1_ESP32-WROOM-32","1","","In Stock"
"U2","AZPAM8403","https://cdn.shopify.com/s/files/1/1509/1638/files/Mini-PAM8403_datasheet.pdf?v=1646835767","Kicad:Mini PAM8403 Module OnlyInput","1","","In Stock"
"U3,U4","ZKEESHOP_PCF8575_MOD","https://www.tinytronics.nl/shop/index.php?route=product/product/get_file&file=3903/pcf8575.pdf","Kicad:16-bit IO Expander","2","","In Stock"
